file,check,found
SE/FE/server.ts,server_env_from_be,True
SE/FE/server.ts,statuses,True
SE/FE/server.ts,validator,True
SE/FE/server.ts,mode_prompt_contract,True
SE/FE/server.ts,timeout,True
SE/FE/server.ts,cache_inflight,True
SE/FE/server.ts,word_export,False
SE/FE/src/components/CopilotFleetReportPage.tsx,server_env_from_be,False
SE/FE/src/components/CopilotFleetReportPage.tsx,statuses,True
SE/FE/src/components/CopilotFleetReportPage.tsx,validator,False
SE/FE/src/components/CopilotFleetReportPage.tsx,mode_prompt_contract,False
SE/FE/src/components/CopilotFleetReportPage.tsx,timeout,True
SE/FE/src/components/CopilotFleetReportPage.tsx,cache_inflight,False
SE/FE/src/components/CopilotFleetReportPage.tsx,word_export,True
SE/FE/src/reportModel.ts,server_env_from_be,False
SE/FE/src/reportModel.ts,statuses,False
SE/FE/src/reportModel.ts,validator,False
SE/FE/src/reportModel.ts,mode_prompt_contract,False
SE/FE/src/reportModel.ts,timeout,False
SE/FE/src/reportModel.ts,cache_inflight,False
SE/FE/src/reportModel.ts,word_export,False
